"","aDC","Adipocytes","Astrocytes","B-cells","Basophils","CD4+ memory T-cells","CD4+ naive T-cells","CD4+ T-cells","CD4+ Tcm","CD4+ Tem","CD8+ naive T-cells","CD8+ T-cells","CD8+ Tcm","CD8+ Tem","cDC","Chondrocytes","Class-switched memory B-cells","CLP","CMP","DC","Endothelial cells","Eosinophils","Epithelial cells","Erythrocytes","Fibroblasts","GMP","Hepatocytes","HSC","iDC","Keratinocytes","ly Endothelial cells","Macrophages","Macrophages M1","Macrophages M2","Mast cells","Megakaryocytes","Melanocytes","Memory B-cells","MEP","Mesangial cells","Monocytes","MPP","MSC","mv Endothelial cells","Myocytes","naive B-cells","Neurons","Neutrophils","NK cells","NKT","Osteoblast","pDC","Pericytes","Plasma cells","Platelets","Preadipocytes","pro B-cells","Sebocytes","Skeletal muscle","Smooth muscle","Tgd cells","Th1 cells","Th2 cells","Tregs","ImmuneScore","StromaScore","MicroenvironmentScore"
"GSM2462555",0.0352343448340059,2.55137789423767e-19,1.12234194021882e-18,0.0435717706486159,3.11726385756469e-19,8.85531778915335e-20,8.14785159144123e-20,7.60297494842576e-21,0.000487541038846025,0,0.00410697240607955,0.00854729781008998,0.00397757216745611,0.00282097827261158,0.0118539265288719,2.57322445203602e-18,0.0210662043525742,0.00243600087251833,0,1.20669656663265e-19,0.00273040128146223,0.00492118883078085,0.12064837648527,0,2.07042221167047e-19,0,0,0.0121839477957697,9.27428874062414e-20,0.00224145071722114,0.00141120683356576,1.62768266915695e-19,3.24650868270429e-19,0,0.00266607505048439,0.00265443560053354,3.85816106669929e-19,0.00337505835773425,0.0539641451482825,0.000959335945956778,7.97835049641333e-19,0,6.17500798327015e-18,0.00283448142384069,0.00596214209570396,0.00551764236016315,0.00119228158501429,0.0022101486600269,0,0.0113636722409959,0.0449469115750847,0.000984555781250008,0,0.0227081861125756,0.00432887827985695,0.0219307903811467,0.00449747738665572,0.000377930123843691,0,0.185975293480222,8.68841902211431e-18,0,0.122362549853885,0,0.0412776539999987,0.00136520064073112,0.0426428546407298
"GSM2462556",0.178456896157923,0,1.38858991479727e-19,0.0334781182885139,0.0283306073088153,0.00150425696896265,8.86493388621561e-19,8.83145332112152e-19,3.02060499827431e-18,0.0261771118255553,4.98320040378429e-21,0,0.019806859722405,0.0045598183947643,0.133185114240603,0,0.0196154337904869,0,0,0.0110495137469183,0.0115160285913727,4.33365033839194e-19,0.139842985883263,0,0,3.00136807643264e-18,0.000431745270601594,0.00401835986355368,0.169701418779757,0.0061427675653595,0.00116901262441707,0.0141375050563111,0.0156236407363004,0.000850064158381546,1.21520948083993e-19,6.76146077716392e-24,0.00160320564076007,0.0129378579716029,0.0670318760138595,0.00418922546757505,0.0354567992508727,0,0,0.0112816005461982,0.00181321762553255,0.00564370284182319,0,0.00774689031967787,6.23961501207416e-18,0.0327674000958047,0.0380263103696062,0.00285264853527349,9.38696339854926e-19,0.0125037120533881,7.63759769592158e-19,0.0293771152028105,0.00307682592775393,0.00230976497903175,0,0.173468068871351,0,0.011681862948648,0.127401385488814,4.47979952036805e-18,0.0679125511081959,0.00575801429568637,0.0736705654038823
"GSM2462557",0.0801681007276384,5.55543856917393e-19,0,0.0349958627365438,0.037251957647975,0,0,0,1.19427371311926e-18,0.00180687352782275,6.76803458908675e-20,0.00894049691579405,0.0243483244044678,5.28966163819621e-19,0.0306748590096131,3.32783746316908e-18,0.00671707260247572,0.0086489410712494,0,0.00296316709715311,1.7321945262496e-19,7.2962651414138e-19,0.135041881096675,0.000879087516672288,0,0.00249586276251456,0,0.0189435358681153,0.0515922307968679,0.00359178609872816,0.00217753532006298,0.00100236078605103,0.0062177067458751,4.9692903602955e-05,0.001559508042289,0,1.28094544457705e-19,0.0087255547379338,0.0518152589656721,0,4.98732615350434e-20,3.98666161306492e-18,0,0.000641168336097912,0.00144718668289766,0.0094759646481616,0.000610461210034564,0.00143329939148492,7.03597881610342e-19,0.0296890215827418,0.030528645107533,0.00689276527841167,0,0.0112248947655311,3.51632098874571e-19,0.0395714604384317,0.00182420924920787,0.0013416941845882,0,0.149376871578139,0,2.69593255100077e-18,0.144884810647624,1.12407913142876e-18,0.0339297966462106,3.64381654771176e-19,0.0339297966462106
"GSM2462558",0.0560761249988522,0,2.4677472279044e-18,0.0443500685977612,0.00601978766616887,0.00159965455740022,5.63961124200796e-19,0,0.00181520710838099,5.16236553120762e-19,1.01309921744357e-19,0.000770062669815726,0.0157474146056141,0,0.08704836531051,4.689294918359e-18,0.00827443958001516,0.00450770709146605,0,0.00758935297728966,0.00741343971745775,0.00912526792071241,0.121228033678046,3.07954648627479e-06,0,0.0188431967841832,0.000996680224266205,0.0411035822746396,0.0924284341149033,0.00403147437327324,0.00232147984164171,0.00200031331580249,0.00546689591489174,0,0.00152075889770576,0.0019876333408262,4.67104782651492e-19,0.0104874691227489,0.0680210787342635,5.18083568909155e-19,0.0159564621243544,7.58081237282246e-18,3.85749058102011e-18,0.00452682238750574,0.00195601213796247,0.00253207498135331,0.000729191466393589,0.00369187672982879,0,0.0114644799191033,0.0482150244101036,0,3.00044196516358e-19,0.0277983648382841,0.000626706990493935,0.0616976871990905,0,0.00296386685676822,0,0.133019947410226,1.21662473385836e-17,0,0.0825678273863536,0.00452451431082489,0.0566694421555136,0.00370671985872888,0.0603761620142425
"GSM2462559",0.0974783113312933,0.00240624054746434,7.80586543861374e-20,0.181376012209755,0.0268357263550316,0.00144312824877944,1.67804911279958e-19,1.65862968887849e-19,0.025334541757824,0.0295010454678702,1.72247700672409e-20,0.0984710719854901,0.161616927813499,0.000189446771191719,0.148221176673817,0.0128263736905489,0.0501045182267208,0.000732804599870495,0,0.0016861492758427,0,0.00563213973105053,0.163204947412125,0,0.0662635452654368,0.01539170435551,0,0.0204314543266436,0.023838633184195,0.00298934572286327,3.41135493096942e-20,5.60588314909261e-20,0.00320353505565789,0,0.0101034131949138,0.000100490593180284,0.000111587035851832,0.052633876676758,0.105018237773874,0.0120810759767226,3.02088136134878e-18,0,0.0468123028129407,2.15723843495734e-18,0,0.0419621870991389,0.000586384659289549,1.47283006240104e-19,3.92150886155682e-18,0.059898164386986,0.0326050674635254,0.0154755694648633,6.92571134692237e-20,0.0364351025528303,3.33449558019909e-23,0.0991185885409954,6.91163450529987e-19,0.00204791369333205,0,0.126129011029567,1.70128216262829e-18,0,0.0605585493749726,0.0048917277545914,0.198179190931368,0.0343348929064506,0.232514083837819
"GSM2462560",0.0489156605750139,3.96085783216522e-21,3.84243222694132e-18,0.0472208870084227,0.099456870525861,1.8081491444143e-21,6.98322041147613e-19,6.15379568341746e-18,0,0.0114375574450794,2.5945447819734e-18,0,1.560815352815e-18,2.68538780279404e-18,0.0798535430134719,1.92231189816181e-18,0.0135179333439038,0,0,0.00630953379426763,0.00418875054927735,0.00186529761577882,0.138214090020983,0,2.75801519994109e-18,4.35926307097242e-18,0.0023973708854797,0.000666819474863461,0.17342158484485,0.00360410303197529,1.5960650959787e-20,0,0.00908818788769328,0.0038927859691927,0.0034747197089987,0,0.00233094637554424,0.0123281335645697,0.0673402597996053,0.0176434785903863,0.000365984449145424,0,0.0838137146319053,0.0023370248944775,0,0.0118319362758317,0,0.00851613007887666,1.01635854815435e-17,0.0734391860287088,0.0148806298795929,0.0247416077834627,0,0.025729589797198,5.51796877617674e-18,0.0295112028957649,0,0.00263835676657087,0,0.090716914283026,5.70725979314357e-18,0.0267586275770134,0.0523096890009304,0,0.0451683684369933,0.00209437527463867,0.047262743711632
"GSM2462561",0.105450059032969,9.04306815489521e-19,0,0.0513610604458218,0.0318521684708559,0.00024116475491013,6.25952602570245e-19,0,0,0,4.75536321617606e-19,0.0079444765149918,0.0128796209037354,6.69313149321917e-19,0.0666520579841709,3.17528350943373e-18,0.0132646779512983,0.00445723452313928,0,0.00961484497712136,0.0108057047864249,0.000731477791392962,0.118357201677092,0,6.69587558044622e-18,5.95326911065506e-18,0,0.0226720099471563,0.157041244053592,0.00388525602186649,0.000394970896981411,0.00112099467747203,0.000594755933726079,0.000949534963425962,0.00106149484664759,0,0.000859466610647504,0.00966462386094724,0.0597767619168237,0.000584130623263836,0.00422962434832361,2.38480143898644e-18,0.0319266794399151,0.00706859837864005,0.00160437872652626,0.0107807036750668,0.000225141829565364,0.00160263754855579,0,0.0234701258090938,0.0437346959839296,0.00872475939244466,2.77877391248752e-18,0.0174843728302117,2.97741542680108e-18,0.0205565735822442,0.00174796519610504,0.000703574288986936,9.56303904664184e-19,0.18673488000201,0,9.12097291338493e-18,0.165037154880802,0,0.0517777407668846,0.00540285239321243,0.0571805931600971
"GSM2462562",0.0521321663620608,0,6.63880811699724e-19,0.0323842810398652,0.0095302952691937,0,0,1.69545929328205e-19,0,0.0249496448274294,0,0.0022343084801467,0.0371420786777526,1.67961984201969e-18,0.0810191646189355,1.73527807698834e-18,0.00701242730135782,1.46402245990144e-19,0,0.00459907681850739,0.0081261878495637,0.00551168384556152,0.143773859739566,0.000125763539986877,0.0145390191646466,0.00988770684839174,1.03103594122663e-20,0.0589833359630843,0.11617944327347,0.00439149283388579,0.00176477613005083,6.26136233350761e-20,0.00310360503262252,0.00680884591561258,0.00276793902651855,0.00120676619800949,0,0.0053766315438898,0.073501862352076,0.0087664792383295,0.0136906838115032,0,0,0.00619862060841266,0,0.0090309806903724,0.000243596119814989,0.00650870562335107,0,6.56420354536429e-19,0.0243492687616079,0,1.24622615489528e-18,0.0251677943052604,0.000463532972638053,0.0388721646693655,0,0.00250745846750824,1.60724263237475e-18,0.152421628552126,0,5.9327266806848e-19,0.0833264792922264,0.00150078662587405,0.0451311190969691,0.0113326035071051,0.0564637226040742
"GSM2462563",0.0579260855402327,7.58843515403391e-05,3.22865269445672e-19,0.0203120106995084,0.120053671859536,0,4.66936077508574e-21,3.48947114243756e-18,0.00310898929161489,0.0183776133800249,0,0,0.00671758702299585,0,0.0531848029462614,8.33311361835321e-19,0.0123477676794615,0.00714806006822471,0,0.00057261462818897,0.0062305612919271,0.00295246488573505,0.135796196821699,0.000199676034420636,3.0308692481684e-19,0.00156761710142076,0.000325771579838292,0.0153394349132788,0.0356793876729876,0.0012909680219986,0.000147182283438482,0,0,0.00520620271800029,0.00132291325590049,0.00378839712053361,0.00161217702813049,0.0037918447252598,0.0740953880903494,0.00820447246745605,0,0,0.0116010985420083,0.00275325135765799,0.000672847782509777,0.00618496073794911,0.000447133334282171,0.00287881812504374,5.33002379143773e-19,0.0425128345189763,0.0303284274485176,0.00703502790584222,1.02861917157049e-18,0.0193545424404995,0,0.0368985644592577,1.86034726426276e-19,0.002130766213377,0,0.132158573565692,5.16048376264343e-18,0.0108243880057786,0.04262883655366,0,0.0186925477295844,0.00315322282173372,0.0218457705513181
"GSM2462564",0.091678773645663,1.07426999173215e-19,8.86286855392599e-19,0.0742742512213047,0.0351864090943828,4.36054034984261e-20,0,1.24729404652071e-18,0.00240857058842749,4.98596441499489e-18,0,0.0168967774285573,0.0290039777457877,1.94515550586593e-18,0.0644678346007833,0,0.0120670606385095,0.0045505881496708,0,0.00749319592069665,0.00419090042782583,0.0105689297079824,0.139664297036587,0.000185057107268838,5.84297531026342e-19,0.00258135178020826,0.000791277356637729,0.0184861132983868,0.125451050273385,0.00344121528811289,0.000368691077399345,0.00293401417777038,0.00897957579302459,0.0015274380506168,0.010206291668235,0.00114247609712042,0.00054786446117638,0.0172454797154288,0.103831660833866,0.00623884029915995,0.00620347464679723,1.4302816303353e-18,0,0.00178858561081231,0.00126026129646173,0.00598465976988315,0.000385607886010644,0.00737768571344409,1.30027273501844e-17,0.0108999791733734,0.0442287051881655,1.92981022194763e-19,0,0.02488674409987,0,0.0210048587435002,0.00766845029901486,0.00323239462132105,0,0.131172315364441,0,0,0.0557798016354893,0,0.0906364136565252,0.00209545021391291,0.0927318638704381
