"","B cells naive","B cells memory","Plasma cells","T cells CD8","T cells CD4 naive","T cells CD4 memory resting","T cells CD4 memory activated","T cells follicular helper","T cells regulatory (Tregs)","T cells gamma delta","NK cells resting","NK cells activated","Monocytes","Macrophages M0","Macrophages M1","Macrophages M2","Dendritic cells resting","Dendritic cells activated","Mast cells resting","Mast cells activated","Eosinophils","Neutrophils"
"GSM2462555",0.0290006672264953,0,0.367983826210535,0.0515428606089539,0,0.177853285924632,0,0.0462725566862591,0.00305735536953557,0,0.021463452189687,0.0240279835108603,0.00127596673908848,0,0.0395304076228415,0.15324351927985,0,0.01077772269877,0.0461673350519887,0,0.0278030608805031,0
"GSM2462556",0,0.0106574116605043,0.207906672028049,0.0222322483409996,0,0,0,0.0414328866962586,0.00764384111194611,0.0350625812125314,0,0.0257072152728466,0,0.148773425779254,0.0246442502534153,0.132464136521114,0,0,0,0.324031931788974,0.0158043226880263,0.00363907664608021
"GSM2462557",0.00285311003630037,0.043681615218354,0.158806737238166,0,0,0.130923244839858,0.0530328443667145,0.0423365247692944,0,0.0268670041458379,0,0.0872319929534562,0.00578882658554745,0,0.139766510790228,0.21015052278317,0,0.00744118123007207,0,0.00861924253265157,0.0825006425103504,0
"GSM2462558",0.0193932600305921,0.030726600997876,0.235927948905769,0.0148772085102028,0,0.170198148247647,0,0.027109275002173,0,0.000244956187021775,0,0.0279004283420819,0.0137280404832202,0,0.126646936184421,0.209434963440722,0.00228932966688373,0,0,0.0537221026196892,0.0678008013817006,0
"GSM2462559",0,0.0936113510904517,0.394731877127171,0.0409037393442389,0.074038884565266,0.0962464776579053,0.0221207766901079,0,0,0.103629574298389,0,0.0448335515845838,0,0.00513688432372522,0.00242823518634935,0.0974431076626055,0,0,0.0248755404692062,0,0,0
"GSM2462560",0.0159052540095368,0,0.238595484364452,0,0,0.180357918529997,0.123268177936668,0,0,0,0.0257026798743331,0.0330560174424289,0.0250355036772963,0,0.106137805432387,0.119199770640649,0.00209564361276408,0.00814889947445842,0,0.0983421057594963,0.0213525233136684,0.00280221593186417
"GSM2462561",0,0.0425539667400431,0.385972972411185,0,0,0.0946892100580518,0.0526237446154211,0.00669704324701656,0,0.029283981155822,0,0.116506275192104,0,0,0.0590199954224188,0.164016111319732,0,0,0,0.0200848563404887,0.0285518434977171,0
"GSM2462562",0.0492587010316873,0,0.328800380952496,0,0,0.250087939873501,0,0.0085066535769308,0,0.00829077065399083,0,0.0137483543956953,0,0,0.0459707879201212,0.193851521305105,0,0.00159252509783658,0,0.0926499180498572,0.00648064289144763,0.000761804251331169
"GSM2462563",0.0170212734091087,0.0435622500236509,0.169941407466537,0.0148669604705394,0,0.201535700663557,0.000748925048035687,0.0358638856277226,0.00158639077840558,0.0883121587602658,0,0.074678784174637,0.000160023512146672,0.0240309105130029,0.143979635758457,0.12407913812443,0,0,0.0193246241870969,0.0071646528106291,0.0298812439694695,0.00326203470230859
"GSM2462564",0.00215910575994096,0.0503044959765328,0.353599219884063,0,0.0499628145236297,0,0.023691533475069,0,0,0.112918092862367,0,0,0,0,0.0745382037680317,0.233522594498032,0.000852937032089607,0,0.0852226193336652,0,0,0.0132283828865783
