,Activated B cell,Activated CD4 T cell,Activated CD8 T cell,MAPK3,RIPK2,NFKB1,HSDL2,EPHX2
GSM2462555,0.058773617,0.023259147,0.155849747,7.481557587,5.42076451,8.7530833,8.314184739,8.241747156
GSM2462556,0.06522206,0.143925303,0.226686726,7.940362491,5.85848488,9.256837187,7.726201987,8.623368795
GSM2462557,0.026294621,0.189610489,0.205720415,7.571647408,6.562861352,8.816321705,8.132879765,8.380471729
GSM2462558,-0.003631818,0.106854555,0.125548493,7.376582589,6.017479861,8.947292102,8.422560009,8.921887254
GSM2462559,0.270942783,0.123785763,0.307535343,8.248556882,5.092895238,9.339341903,7.668382015,7.997981783
GSM2462560,0.028395262,0.154931714,0.194956635,7.629961517,5.731351044,9.599425063,7.340345058,8.757126833
GSM2462561,0.047581092,0.087306555,0.155105052,7.464894876,5.406210596,9.129235111,7.954843286,7.581794241
GSM2462562,0.082775827,0.138065707,0.199546779,7.701683748,5.546967617,8.671598064,8.248305307,8.640287691
GSM2462563,0.05601128,0.142703478,0.242535562,7.989243964,4.437377416,8.485837689,7.206161093,9.822762663
GSM2462564,0.071444747,0.107562467,0.154940891,7.703945448,5.814833163,8.809937748,6.87259329,9.567677507
GSM2462565,0.046032414,0.086089429,0.224827612,8.382462968,5.386927794,9.457597348,7.951789891,8.48642105
GSM2462566,0.055887185,0.109559287,0.194995198,7.675963372,5.386927794,9.020524291,7.687769887,8.6246266
GSM2462567,0.08915166,0.097789619,0.192067394,7.637330962,5.201669983,9.066085067,8.402756482,8.753314387
GSM2462568,0.08805991,0.095945861,0.145820068,8.792625228,5.16312841,8.493938118,7.879620076,9.628951283
GSM2462569,0.071593465,0.105001624,0.204626196,7.928555183,5.992847726,9.10130895,8.002466597,8.366239151
GSM2462570,0.090935321,0.079760461,0.165062812,7.663579371,5.500328963,8.858356846,8.088727012,8.167015833
GSM2462571,0.081654174,0.168102517,0.230921031,7.07552365,5.402420374,9.267656836,7.120348769,7.474445667
GSM2462572,0.07504233,0.071490967,0.253984542,7.441493899,5.01287656,8.697275598,7.778646645,9.388667614
GSM2462573,0.025518622,0.188872257,0.194411622,7.666857364,5.460352702,9.323994633,7.875677501,8.691590284
GSM2462574,0.072819396,0.100849884,0.200144616,7.688971549,5.978616954,9.368703479,8.09999947,9.13280351
GSM1621589,-0.005165392,0.048395124,0.087096301,8.304032168,5.617123827,9.12135293,8.466455058,8.891005611
GSM1621592,-0.119666605,-0.068199807,0.137815105,8.04546892,5.856204203,8.695546108,7.0699114,9.294080634
GSM1621597,0.023948722,0.146503514,0.165605852,8.169726839,5.638607565,8.865192872,7.751780558,7.574384667
GSM1621600,0.07965213,0.089163254,0.215421105,8.107767853,5.417998718,8.995686467,8.348712791,8.918805449
GSM1621603,0.057708674,0.14528178,0.190564134,7.469466622,5.81520585,9.148678014,7.660458279,8.680380382
GSM1621604,-0.101709202,0.013755765,0.138969691,8.12276499,5.002522562,8.885049563,7.482582568,8.902571621
GSM1621607,0.139018534,0.23143761,0.255647029,6.979841448,6.330475194,9.163456097,7.111535251,7.513766498
GSM1621608,0.104007494,0.088794539,0.179694,7.577834466,5.154199677,9.424558824,7.570086238,8.935308007
GSM1621611,0.284952845,0.277740792,0.280471925,6.571791864,6.794019407,9.358539601,7.050707005,7.339911115
GSM1621616,0.020352252,0.093585097,0.178965663,7.799765704,5.315915791,8.621184132,7.706864517,8.344182035
GSM1621624,0.15043118,0.259277549,0.297946975,7.609422757,5.716098927,9.057341956,7.991774885,8.195364196
GSM1621627,0.172626746,0.134254923,0.243052892,7.957178006,5.703490899,8.809576384,7.1752293,7.956139174
GSM1621630,-0.095385419,0.070441654,0.097440806,8.207665023,5.377307877,8.883923217,7.826820255,8.478942299
GSM1621633,-0.048595675,0.073824086,0.21944385,8.025132603,5.456415815,8.661208374,7.043801413,8.722268016
GSM1621638,0.031437966,0.030252302,0.189434542,7.820871795,4.867338252,9.256992332,7.54131279,8.942363296
GSM1621641,-0.003706733,0.113029441,0.186440085,8.256546078,5.208323054,8.891943252,7.904830953,8.943530771
GSM1621642,0.191052711,0.215342027,0.234441276,7.665204358,5.540635234,9.174620453,7.370002857,8.22115274
GSM1621645,0.165931677,0.124821159,0.22376218,7.506551711,5.283935897,9.429403578,7.389302094,8.87806429
GSM1621646,-0.007717923,0.020249489,0.169378157,7.728241293,5.440628082,8.908026944,8.034447856,9.109172983
GSM1621649,-0.003013453,0.005947863,0.157673585,7.347914221,5.181273248,9.16770634,7.408949761,9.091173888
GSM1621650,-0.061889307,0.030777535,0.222268919,8.074804799,4.861422395,8.675974897,8.219612727,10.11093355
GSM1621654,0.173086561,0.183184375,0.226897249,7.665803747,6.017510769,8.851790402,7.860104408,8.087067579
GSM1621658,-0.104563899,0.026802226,0.126048887,7.472553204,5.946934453,8.795216942,7.916448121,8.269404011
GSM1621659,-0.008687449,0.08093972,0.251244401,8.081367336,5.251578441,9.136889832,8.146647022,8.92931871
GSM1621663,0.011799564,0.109927022,0.179302298,7.742363277,5.60851367,8.935180092,7.336186584,8.560666725
GSM1621665,-0.131793485,0.028680448,0.124279556,8.357077567,5.564090006,8.944525488,7.792596568,8.408083543
GSM1621666,0.042279144,0.009353403,0.178773616,8.275070001,5.153342228,8.748073215,8.055442601,9.598647178
GSM1621667,-0.028663471,-0.063283756,0.105057409,8.040537561,4.690277479,8.930541252,7.88581014,9.265523293
GSM1621669,0.099251682,0.192616546,0.217648072,8.228310923,5.877937818,8.7941284,7.766240218,7.811132008
GSM1621670,0.292256988,0.223163421,0.254073825,7.359043561,5.615720209,8.730201925,8.003202102,8.421802994
GSM1621671,-0.066259277,-0.093951371,0.087628757,7.77671941,4.843123772,8.793076772,8.130094636,9.320367145
GSM1621674,0.224636508,0.096457057,0.194523883,7.88774393,5.019274766,8.898747698,7.65920979,9.868843901
GSM1621677,0.028697809,0.099577073,0.169802804,7.689392307,5.109694215,9.05931783,8.604791855,9.187225286
GSM1621679,0.079254192,0.04502697,0.197119727,8.114585212,5.033392241,8.987285299,7.987042918,9.65137791
GSM1621684,0.48498931,0.279915491,0.347508921,6.751514635,5.608013226,9.688680015,7.501418836,9.466779123
GSM1621686,0.134812886,0.140213715,0.215022997,7.633687763,5.315915791,8.956246334,8.087997458,8.781038198
GSM1621687,-0.02732472,0.090005617,0.184162301,8.279007343,5.777055845,8.886264315,7.793866494,8.759475067
GSM1621689,0.042327803,0.124681064,0.200438496,6.963473476,6.331469105,8.896338026,7.844775196,7.798046701
GSM1621691,0.22071012,0.18718874,0.230351448,7.434675912,5.454488519,9.085376846,6.870437158,7.517189132
GSM1621695,-0.03340575,0.065384796,0.178130455,8.114585212,5.091018801,9.067289512,7.905481223,8.858381738
GSM1621698,0.357290785,0.288307173,0.316151442,6.571223584,6.825208189,9.601988349,6.991489837,7.262678675
GSM1621700,0.277812975,0.223510197,0.297490698,7.187510311,6.009556907,8.936277958,7.972513597,8.000968424
GSM1621703,0.208862646,0.192830819,0.292082626,7.32734437,5.501890972,9.226029298,7.57442479,7.978824289
GSM1621704,0.29836053,0.272690947,0.286392461,7.162488352,6.556017897,9.397088105,7.248557512,7.26447403
GSM1621708,0.336875707,0.316008308,0.327434913,6.466511265,6.807116369,9.60012808,7.143202414,4.674055323
GSM1621710,0.198674975,0.105229042,0.236715816,7.803564353,4.890394457,8.768308668,8.346259272,10.27436367
GSM1621711,0.02993771,0.066075371,0.146017802,7.758348911,5.720455449,9.355320804,7.689289531,8.185811504
GSM1621712,-0.009761608,0.005904516,0.15956964,8.127121727,4.987671795,8.97874717,7.729991808,9.589359087
GSM1621714,0.077042747,0.057840059,0.203443661,7.744968192,5.346958534,9.724259526,7.153389008,8.185008458
GSM1621715,0.326284009,0.266045727,0.306461796,7.835805413,6.034376281,9.406676891,7.605429344,8.336872911
GSM1621716,0.152190721,0.19687443,0.234426279,7.427443778,5.835459327,8.95965784,7.738063385,7.501644186
GSM1621718,0.026702013,0.048366982,0.146135013,7.473167537,5.638120118,8.651766059,8.383949335,8.623700882
