"","MAPK3","RIPK2","NFKB1","HSDL2","EPHX2","RIDA","FDX1","SYNPO","KDF1","METTL7A"
"B.cells.naive",0.254732204533632,-0.346774873531414,-0.136486811312089,0.300066077176846,0.304953581304823,0.257505795923909,0.273171002604704,0.185548764021207,0.232764725275258,0.309967669631515
"B.cells.memory",-0.426986650531385,0.318819559637965,0.355416344090209,-0.32893115750493,-0.302369005771218,-0.270212691188757,-0.277154391465192,-0.260550301412861,-0.422250205882654,-0.371250057894152
"Plasma.cells",0.0599621391017244,0.0413006704104099,-0.181508281027794,-0.0381890801229444,-0.107985739437879,-0.108207723225738,-0.146478860696028,-0.0629012513272443,0.130483230185807,0.124805017944761
"T.cells.CD8",0.210980092638175,-0.151239359827769,-0.0519418801476391,0.0886729905478878,0.0835637967286796,0.00706884304071404,0.0441717480959637,0.100213194638977,0.177348922321041,0.0736672887871829
"T.cells.CD4.naive",-0.0473958012236692,0.0224586466017692,0.153175417415307,-0.0907780745499854,0.0331001085487485,-0.0831756393565461,-0.0838458229559971,0.12243195742989,-0.0519299366631562,0.0846551449465256
"T.cells.CD4.memory.resting",0.22458985348399,-0.374481939220647,-0.202736861855743,0.330193142217795,0.301100573253807,0.350300378036987,0.438689874462986,0.0435469187351307,0.25622072281855,0.199181998963913
"T.cells.CD4.memory.activated",-0.267276792711508,0.406178141646704,0.256313027608828,-0.343006963729701,-0.369740880004827,-0.265551493564201,-0.289450174975082,-0.0946872825898317,-0.412199711194944,-0.337333546622003
"T.cells.follicular.helper",-0.106436339881184,0.0386748041177519,0.0679959660006268,-0.0471888968731356,-0.0843053957178376,-0.104567569580606,-0.152495956392268,-0.0700001052596181,-0.21364754973137,-0.174880100904001
"T.cells.regulatory..Tregs.",0.282584236595299,-0.351604811711684,-0.119449103957923,0.274479902479912,0.362050718704126,0.170663542618751,0.272859518968892,0.329463327224306,0.316679059468994,0.223861196515325
"T.cells.gamma.delta",-0.379292816068573,0.23626325704796,0.193780370219316,-0.270335728200013,-0.193692310371804,-0.204906709667185,-0.192985473410891,-0.147607505636405,-0.383751881934605,-0.247522428856739
"NK.cells.resting",-0.015654347366819,0.0275441427218152,0.00332236883459199,0.0076573431816545,-0.0401626756089462,-0.0426400576783173,0.00642861152810021,0.0349411875848081,-0.102853591746156,-0.110590966115964
"NK.cells.activated",0.262421689534388,-0.36764824526064,-0.135161180647687,0.21151097792915,0.332520488011526,0.215429878660124,0.271848879215908,0.169152894393955,0.298552962141211,0.237577131733553
"Monocytes",0.00380804161932065,0.262080271042738,0.159692572312858,-0.142837456886455,-0.210165218557384,0.0215174221642724,-0.10806796806376,-0.0415943583000614,-0.0959325514581366,-0.100196596643693
"Macrophages.M0",-0.330055072710296,0.47637594751335,0.356757247764835,-0.54472051789288,-0.450814244202269,-0.440465350156368,-0.563307613000789,-0.266807512000086,-0.479961743805429,-0.427786753058879
"Macrophages.M1",-0.337641956939455,0.445305461307016,0.3572065571568,-0.430513889838563,-0.382143630891221,-0.292607052062031,-0.414770374306079,-0.175478129660915,-0.486236505127531,-0.371507552042179
"Macrophages.M2",0.513285826903431,-0.695301822858083,-0.395160784403691,0.649975908027673,0.671036532579929,0.525176639339486,0.629192257148671,0.443948606295188,0.68477897142657,0.663508011523184
"Dendritic.cells.resting",0.0598543868746052,-0.180693434396119,-0.107104897662745,0.0599390224872334,0.149124908715179,0.0678183675016221,0.167715081380879,0.0362598853413336,0.128583315852824,0.123695306509849
"Dendritic.cells.activated",0.133688437445167,-0.139044737724906,-0.156561794381201,0.321196344981466,0.144969597556215,0.276679738519891,0.284835689530145,0.040868354860176,0.14026597557458,0.116043405763497
"Mast.cells.resting",0.341730257545425,-0.54602451166338,-0.27524674275895,0.503107363627776,0.540880013229377,0.351339037468728,0.512927937531939,0.451230494432109,0.462903600698642,0.483343978609565
"Mast.cells.activated",-0.347376042821114,0.596108495634187,0.283974566071037,-0.542510956412056,-0.618168972680539,-0.36771106051682,-0.535125904640972,-0.435242050796618,-0.468504123652231,-0.576693960114316
"Eosinophils",-0.0156973607201153,0.0249068861690043,-0.1157923955834,0.155116675654265,0.0770077064325214,0.204412619792816,0.13273077812761,0.0184951309612144,0.14682920746253,0.134717075565299
"Neutrophils",-0.270640741994537,0.375427236821317,0.105892837558151,-0.295947079721949,-0.257146475809322,-0.1578130732346,-0.217080967061421,-0.179418710377207,-0.312997974417151,-0.355839473842554
