ONTOLOGY,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
BP,GO:0043506,regulation of JUN kinase activity,5/38,83/18862,6.54026747903675e-07,0.000344359316490352,0.000224358202876817,RIPK2/DNAJA1/MAP3K5/CCL19/ARHGEF5,5
BP,GO:0051403,stress-activated MAPK cascade,7/38,261/18862,7.8415164129744e-07,0.000344359316490352,0.000224358202876817,NFKB1/RIPK2/DNAJA1/MAP3K5/MAPK3/CCL21/CCL19,7
BP,GO:0031098,stress-activated protein kinase signaling cascade,7/38,276/18862,1.13965884437414e-06,0.000344359316490352,0.000224358202876817,NFKB1/RIPK2/DNAJA1/MAP3K5/MAPK3/CCL21/CCL19,7
BP,GO:0097048,dendritic cell apoptotic process,3/38,11/18862,1.23094635238071e-06,0.000344359316490352,0.000224358202876817,CCL21/CCL19/BLK,3
BP,GO:2000668,regulation of dendritic cell apoptotic process,3/38,11/18862,1.23094635238071e-06,0.000344359316490352,0.000224358202876817,CCL21/CCL19/BLK,3
BP,GO:0032872,regulation of stress-activated MAPK cascade,6/38,181/18862,1.53731287120589e-06,0.000344359316490352,0.000224358202876817,RIPK2/DNAJA1/MAP3K5/MAPK3/CCL21/CCL19,6
BP,GO:0070302,regulation of stress-activated protein kinase signaling cascade,6/38,184/18862,1.69158962486489e-06,0.000344359316490352,0.000224358202876817,RIPK2/DNAJA1/MAP3K5/MAPK3/CCL21/CCL19,6
BP,GO:0070661,leukocyte proliferation,7/38,312/18862,2.57457513725012e-06,0.000458596196322677,0.000298786219875606,RIPK2/CD19/MS4A1/MAPK3/FCRL3/CCL19/BLK,7
BP,GO:0070555,response to interleukin-1,6/38,206/18862,3.25460082506427e-06,0.000515311797301842,0.000335737769322419,NFKB1/PRKCA/RIPK2/MAPK3/CCL21/CCL19,6
BP,GO:0046328,regulation of JNK cascade,5/38,129/18862,5.79724742708837e-06,0.000826107758360093,0.00053822865586231,RIPK2/DNAJA1/MAP3K5/CCL21/CCL19,5
BP,GO:0043507,positive regulation of JUN kinase activity,4/38,68/18862,1.03962027123105e-05,0.00134678080591295,0.000877459405957692,RIPK2/MAP3K5/CCL19/ARHGEF5,4
BP,GO:0046651,lymphocyte proliferation,6/38,282/18862,1.95537955341438e-05,0.00227519845928551,0.00148234536737937,RIPK2/CD19/MS4A1/FCRL3/CCL19/BLK,6
BP,GO:0032943,mononuclear cell proliferation,6/38,285/18862,2.07561964706748e-05,0.00227519845928551,0.00148234536737937,RIPK2/CD19/MS4A1/FCRL3/CCL19/BLK,6
BP,GO:0050855,regulation of B cell receptor signaling pathway,3/38,28/18862,2.38684285640583e-05,0.00228663071142595,0.00148979374882931,CD19/FCRL3/BLK,3
BP,GO:0046330,positive regulation of JNK cascade,4/38,84/18862,2.40697969623784e-05,0.00228663071142595,0.00148979374882931,RIPK2/MAP3K5/CCL21/CCL19,4
BP,GO:0071356,cellular response to tumor necrosis factor,6/38,296/18862,2.56866015118201e-05,0.00228771294714648,0.00149049885088325,NFKB1/MAP3K5/PCK2/MAPK3/CCL21/CCL19,6
BP,GO:0071347,cellular response to interleukin-1,5/38,180/18862,2.91094235820268e-05,0.00241604442029663,0.00157410982729575,NFKB1/RIPK2/MAPK3/CCL21/CCL19,5
BP,GO:0043405,regulation of MAP kinase activity,6/38,307/18862,3.15211043291087e-05,0.00241604442029663,0.00157410982729575,RIPK2/DNAJA1/MAP3K5/MAPK3/CCL19/ARHGEF5,6
