"","GSM2462533","GSM2462534","GSM2462535","GSM2462536","GSM2462537","GSM2462538","GSM2462539","GSM2462540","GSM2462541","GSM2462542","GSM2462543","GSM2462544","GSM2462545","GSM2462546","GSM2462547","GSM2462548","GSM2462549","GSM2462550","GSM2462551","GSM2462552","GSM2462553","GSM2462554","GSM2462555","GSM2462556","GSM2462557","GSM2462558","GSM2462559","GSM2462560","GSM2462561","GSM2462562","GSM2462563","GSM2462564","GSM2462565","GSM2462566","GSM2462567","GSM2462568","GSM2462569","GSM2462570","GSM2462571","GSM2462572","GSM2462573","GSM2462574"
"GPX2",5.87309438266667,4.16952661809524,5.09931457533333,4.26021878521429,4.06836374504762,4.16799073792857,4.32867671578571,4.15733765904762,4.81980129421429,4.70532444761905,4.44367069745238,4.45856995676191,4.03147308092857,4.26205820290476,4.16982255778571,4.63259530990476,4.14254219369048,4.0932918427619,4.24592676157143,6.1481800065,3.88644308966667,4.14515429430952,4.05120816538095,4.40426888047619,4.36150989566667,4.42053929335714,4.5912089885,4.54490160009524,4.13227741935714,3.92494179978571,4.07611887654762,4.04031625952381,4.11849860728571,4.32595024280952,3.94648906735714,4.52014578921429,4.06540553040476,3.57485203547619,4.27633453930952,4.21728988309524,4.26141519216667,4.27667011738095
"NID2",8.44433532976191,8.16784633578571,6.96515478554762,8.09791642995238,7.65527291811905,7.6456175042619,7.94851998588095,6.99457759866667,8.21851020416667,6.91355723038095,8.25000565478571,8.05483351752381,7.28860476361905,7.3885230872381,7.9129406657381,8.45495499835714,7.69254288702381,7.17297083511905,7.69125796254762,8.19960033642857,7.35448511088095,7.83207638509524,8.14502227714286,7.33586214119048,8.7421121487619,8.01586668745238,8.34238646971429,8.90513146116667,8.53021888135714,8.68064052538095,7.67622443528571,8.17843978966667,7.80957183490476,7.62617963466667,8.82219409328571,8.52802338792857,8.27644437221429,8.5567352025,8.03472197492857,7.78378574657143,8.18738647659524,8.12786904188095
"PGRMC1",10.283955627619,10.227138842619,9.79781581438095,10.1012338947619,9.87143155480952,10.1126706245238,10.2609420640476,10.4547013942857,10.0788383222381,10.0913881583333,10.0269714820476,10.3310707988095,10.1747493988095,10.1979487157143,10.172943542381,10.0208972124524,10.4086133897619,9.97113381195238,10.1107624902381,10.1869867969048,10.17061301,9.98530152554762,10.0306223132381,9.99343608554762,9.93892985430952,10.0225190969524,9.94053733588095,9.86445622426191,9.79781581438095,10.0932894219048,10.232483757619,10.0049003154286,9.87954452616667,9.88311285757143,10.0477225262143,10.2018802197619,9.7183894322381,9.94372401802381,10.0181292937143,10.0257433682619,9.98863682190476,10.0099156791905
"NFKB1",7.83650114042857,7.66922902871429,7.59119788619048,7.85066370497619,7.67898986114286,7.72134901238095,7.65063007757143,7.86818565847619,7.71676081535714,7.80789438730952,7.28596044469048,7.86516091121429,7.9772857625,7.62582999571429,7.69869513604762,8.2011956802381,7.51153643638095,7.46461679119048,7.52071701378571,7.80106582909524,8.08461695480952,7.57803777488095,7.72014881130952,8.09735910759524,7.76750165080952,7.86557212507143,8.15913853930952,8.35388849304762,8.0018108287619,7.65913276488095,7.52003562161905,7.76272135238095,8.24768807321429,7.92040829880952,7.95452415304762,7.5261012137619,7.98089975359524,7.7989775142619,8.10546084795238,7.67836007128571,8.14764652195238,8.1811244517619
"ABCB1",6.92399152521429,6.78296850697619,5.00381660533333,7.15431510102381,6.02737240280952,6.20429116190476,7.01885144235714,7.22488019228571,7.09287788116667,5.88149135740476,6.01038876954762,6.80767321916667,6.8631927452619,6.2372057532619,6.91571382957143,5.7318849425,7.46099398714286,5.51531115433333,6.44018848728571,6.73350508271429,6.79542073611905,6.82314894092857,5.12972934559524,5.64887820576191,5.49656413571429,5.49620235738095,5.70092690988095,7.29199344616667,5.03797330957143,6.16379516811905,5.23031948759524,6.32211725878571,4.40426888047619,5.16367144847619,6.45413838933333,5.18025804964286,4.49722275719048,5.56440144988095,6.89028830338095,5.35220911623809,5.77000711866667,6.26258887266667
"NMB",6.07355346219048,5.8748266992619,5.95050180730952,5.97608190754762,5.56440144988095,5.68098398571429,5.73217771442857,5.90486861807143,5.78318458511905,5.73959683928571,6.21389146357143,5.71756462435714,5.79613819285714,5.56980522688095,5.78618533459524,5.812203672,5.81830600057143,5.64222451497619,6.01153673,5.98043872511905,5.79547593809524,5.92601139447619,5.90486861807143,5.93265551533333,6.08955296983333,5.67578435611905,6.31979581709524,6.19334359166667,5.78618533459524,5.95902332728571,6.29033668319048,5.63247677447619,6.00699022859524,5.65676198061905,5.97794191164286,5.9557959245,5.90024022714286,5.96356604761905,5.64082723090476,6.14358710266667,5.82810228442857,6.13953954614286
"PRKCA",6.67219961104762,6.67893664461905,6.81648982635714,6.47224982083333,6.77310737683333,6.60698243292857,6.67529369192857,6.45644562430952,6.64049806857143,6.57801703309524,7.01240372483333,6.59452610564286,6.47002542995238,6.69951257157143,6.70928637609524,6.56776464614286,6.76963916430952,6.78193647209524,6.38840873178571,6.63442549238095,6.32751116283333,6.90485229783333,6.83769621545238,6.47731288816667,6.36286832454762,6.86749022135714,6.594189067,6.85542879688095,6.52903385314286,6.82314894092857,6.4811034037381,6.65286057376191,6.74981375947619,6.67056900545238,6.94296676802381,6.71640780216667,6.61544983283333,6.49466119352381,6.79003000980952,6.62753239054762,6.82697277178571,6.69145324352381
"ASNS",7.91247029688095,7.1868398397619,7.68157510040476,7.83111548614286,7.36197148742857,7.39460829488095,6.90485229783333,7.44271203295238,7.47400016345238,7.48673156833333,7.16662108821429,7.22263552245238,7.96945949257143,7.30745276469048,7.17581580059524,7.30560628680952,7.02500787809524,7.71900103292857,7.30181564828571,7.82301412314286,7.39386930328571,7.847180342,7.48426066016667,8.06727682595238,7.62344247597619,7.37059381428571,8.14895960045238,7.51407587542857,7.87821123059524,7.18603421147619,7.40659398245238,6.97571514080952,7.36829087792857,7.64721136861905,7.518103988,7.70539750857143,7.98622801966667,7.50844206485714,6.82806347721429,7.12681494392857,8.15631599540476,7.51255849914286
"KNTC1",4.09606511807143,3.94276326211905,4.0756917902381,3.94832081152381,4.14126147033333,4.235286037,4.162695081,3.61945241938095,4.00767803764286,4.08530523645238,3.57429899111905,4.28754501635714,4.15708118061905,3.9934892187619,4.02310442859524,4.26478966740476,3.87928859383333,3.99375974242857,4.15510475795238,4.3638591605,3.94499549364286,3.69604943569048,3.86632879271429,4.33416304321429,4.60099191980952,4.1472678592619,4.04246618664286,3.98832474569048,3.83969955147619,4.44619948033333,4.2549265125,3.8884124377619,4.24159460121429,4.63340943297619,4.13142367935714,4.07256295257143,3.84958425452381,4.15607206657143,3.95444247080952,4.31406922145238,4.79565294359524,4.15342790769048
"RIPK2",6.50521537664286,6.37424487890476,6.60018841297619,6.74526655514286,6.4845113732619,6.58464272888095,6.14726858304762,6.67434328085714,6.46895337888095,6.48542813795238,6.52081676947619,6.29778553571429,6.8145915525,6.24965557888095,6.41007522892857,6.9511036212381,6.40033345690476,6.24576092885714,6.30314894838095,6.68571039792857,6.8591125565,6.47355105097619,6.1110445895,6.29684486614286,6.59583333392857,6.36433386921429,5.971873088,6.2428800442619,6.10486685330952,6.16461434311905,5.69362377530952,6.2783159105,6.09668183254762,6.09668183254762,6.01804497985714,6.00168514083333,6.35387820416667,6.14481751490476,6.10325800816667,5.93790735661905,6.1278486902619,6.34783763207143
