Gene,Cell,cor,pvalue
MAPK3,B.cells.naive,0.254732205,0.006214668
MAPK3,B.cells.memory,-0.426986651,2.93E-08
MAPK3,Plasma.cells,0.059962139,0.079226252
MAPK3,T.cells.CD8,0.210980093,2.67E-05
MAPK3,T.cells.CD4.naive,-0.047395801,0.699794042
MAPK3,T.cells.CD4.memory.resting,0.224589853,3.08E-05
MAPK3,T.cells.CD4.memory.activated,-0.267276793,8.00E-07
MAPK3,T.cells.follicular.helper,-0.10643634,0.192610979
MAPK3,T.cells.regulatory..Tregs.,0.282584237,1.52E-05
MAPK3,T.cells.gamma.delta,-0.379292816,1.27E-10
MAPK3,NK.cells.resting,-0.015654347,0.834571137
MAPK3,NK.cells.activated,0.26242169,2.86E-05
MAPK3,Monocytes,0.003808042,0.021801756
MAPK3,Macrophages.M0,-0.330055073,1.10E-07
MAPK3,Macrophages.M1,-0.337641957,1.47E-07
MAPK3,Macrophages.M2,0.513285827,2.68E-21
MAPK3,Dendritic.cells.resting,0.059854387,0.038852106
MAPK3,Dendritic.cells.activated,0.133688437,0.014451018
MAPK3,Mast.cells.resting,0.341730258,2.33E-06
MAPK3,Mast.cells.activated,-0.347376043,1.34E-08
MAPK3,Eosinophils,-0.015697361,0.990570414
MAPK3,Neutrophils,-0.270640742,5.22E-05
