Gene,Cell,cor,pvalue
FDX1,B.cells.naive,0.273171003,9.56E-05
FDX1,B.cells.memory,-0.277154391,0.077357899
FDX1,Plasma.cells,-0.146478861,0.019273928
FDX1,T.cells.CD8,0.044171748,0.093418041
FDX1,T.cells.CD4.naive,-0.083845823,0.885474095
FDX1,T.cells.CD4.memory.resting,0.438689874,3.74E-13
FDX1,T.cells.CD4.memory.activated,-0.289450175,6.66E-05
FDX1,T.cells.follicular.helper,-0.152495956,0.081528907
FDX1,T.cells.regulatory..Tregs.,0.272859519,1.35E-05
FDX1,T.cells.gamma.delta,-0.192985473,0.079976988
FDX1,NK.cells.resting,0.006428612,0.959378502
FDX1,NK.cells.activated,0.271848879,6.32E-07
FDX1,Monocytes,-0.108067968,0.001361879
FDX1,Macrophages.M0,-0.563307613,4.39E-17
FDX1,Macrophages.M1,-0.414770374,5.69E-12
FDX1,Macrophages.M2,0.629192257,2.42E-29
FDX1,Dendritic.cells.resting,0.167715081,0.007972293
FDX1,Dendritic.cells.activated,0.28483569,5.44E-07
FDX1,Mast.cells.resting,0.512927938,3.14E-15
FDX1,Mast.cells.activated,-0.535125905,6.27E-20
FDX1,Eosinophils,0.132730778,0.00526892
FDX1,Neutrophils,-0.217080967,0.000821419
