Query Name	Rank	TF	Score	Library	Overlapping_Genes
"gene_set_query"	"1"	"ISX"	"3.667"	"ARCHS4 Coexpression,2;Enrichr Queries,4;GTEx Coexpression,5"	"REG3A,AQP8,GBA3,DMBT1,ANPEP,HSD17B2,CHP2,UGT2A3,HMGCS2,PITX2,PCK1,SPINK4,DEFA6,ENTPD5,REG4,DEFA5,PLA2G2A,GUCA2B,TM4SF5,SLC35G1,OLFM4,CXCL10,MEP1B,RBP2,GSTA1,LCN2,ABCG2"
"gene_set_query"	"2"	"MYRFL"	"4.5"	"ARCHS4 Coexpression,8;GTEx Coexpression,1"	"SPINK4,REG3A,DEFA6,REG4,DEFA5,PLA2G2A,GUCA2B,SLC35G1,GBA3,OLFM4,CYP3A4,DMBT1,RBP2,MEP1B,ANPEP,HSD17B2,GSTA1,CHP2,UGT2A3,PCK1,ABCG2"
"gene_set_query"	"3"	"NR1H4"	"19.33"	"ARCHS4 Coexpression,14;Enrichr Queries,21;GTEx Coexpression,23"	"NNMT,DEFA6,ENTPD5,C4BPA,TM4SF5,GBA3,PDZK1IP1,CYP3A4,C3,CXCL10,ADH4,RBP2,MEP1B,ANPEP,HSD17B2,GSTA1,LCN2,UGT2A3,CCL2,HMGCS2,PCK1,ABCG2"
"gene_set_query"	"4"	"CREB3L3"	"26.67"	"ARCHS4 Coexpression,6;Enrichr Queries,57;GTEx Coexpression,17"	"REG3A,C4BPA,GBA3,CYP3A4,C3,ANPEP,HSD17B2,CHP2,UGT2A3,HMGCS2,PCK1,SPINK4,DEFA6,ENTPD5,REG4,DEFA5,PLA2G2A,GUCA2B,TM4SF5,CXCL10,RBP2,MEP1B,GSTA1,SAA1,LCN2,ABCG2"
"gene_set_query"	"5"	"HNF4G"	"27.4"	"ARCHS4 Coexpression,1;ENCODE ChIP-seq,24;Enrichr Queries,53;ReMap ChIP-seq,57;GTEx Coexpression,2"	"REG3A,REG1B,REG1A,GBA3,CYP3A4,C3,DMBT1,CASP5,ANPEP,HSD17B2,CHP2,UGT2A3,HMGCS2,PCK1,PITX2,SPINK4,MMP7,DEFA6,NOS2,CCL20,ENTPD5,REG4,DEFA5,PLA2G2A,GUCA2B,TM4SF5,SLC35G1,OLFM4,ACSF2,CXCL10,RBP2,MEP1B,GSTA1,ABCG2"
"gene_set_query"	"6"	"HNF4A"	"27.5"	"Literature ChIP-seq,23;ARCHS4 Coexpression,10;ENCODE ChIP-seq,35;Enrichr Queries,72;ReMap ChIP-seq,16;GTEx Coexpression,9"	"NNMT,GBA3,CYP3A4,CXCL2,C3,ADH4,ANPEP,HSD17B2,CHP2,UGT2A3,CCL2,HMGCS2,PCK1,SPINK4,SLC16A1,DEFA6,CCL20,ENTPD5,REG4,PLA2G2A,MMP3,GUCA2B,TM4SF5,MMP9,ACSF2,CXCL10,RBP2,MEP1B,GSTA1,ABCG2"
"gene_set_query"	"7"	"TBX10"	"35.0"	"ARCHS4 Coexpression,7;Enrichr Queries,95;GTEx Coexpression,3"	"REG3A,AQP8,GBA3,C3,DMBT1,ANPEP,HSD17B2,CHP2,UGT2A3,HMGCS2,PCK1,DUOX2,SPINK4,DEFA6,ENTPD5,REG4,DEFA5,PLA2G2A,GUCA2B,SLC35G1,OLFM4,MMP9,CXCL10,RBP2,MEP1B,SELL,GSTA1,LCN2,ABCG2"
"gene_set_query"	"8"	"LTF"	"42.0"	"ARCHS4 Coexpression,38;GTEx Coexpression,46"	"MMP7,FDCSP,LCN2,CHI3L1,S100P,MNDA,S100A9,S100A8"
"gene_set_query"	"9"	"NR1I2"	"44.0"	"Literature ChIP-seq,8;ARCHS4 Coexpression,9;Enrichr Queries,148;GTEx Coexpression,11"	"NNMT,AQP8,C4BPA,CXCL1,GBA3,CYP3A4,C3,ADH4,FCGR3A,ANPEP,HSD17B2,CHP2,HMGCS2,PCK1,PTGDS,SPINK4,DEFA6,ENTPD5,REG4,PLA2G2A,GUCA2B,TM4SF5,CXCL10,RBP2,MEP1B,IL1B,GSTA1,ABCG2"
"gene_set_query"	"10"	"TFEC"	"44.67"	"ARCHS4 Coexpression,39;Enrichr Queries,45;GTEx Coexpression,50"	"CXCL8,BCL2A1,LPCAT1,CXCL3,MMP9,C3,CXCL10,FCGR3A,SELL,IL1B,LCN2,CCL2,MNDA,S100A9,S100A8,IDO1"
"gene_set_query"	"11"	"RFX8"	"53.0"	"ARCHS4 Coexpression,17;GTEx Coexpression,89"	"GREM1,CXCL8,NNMT,TMEM158,BCL2A1,CTSK,IL1B,TIMP1,CXCL3,CXCL5"
"gene_set_query"	"12"	"HNF1B"	"55.33"	"ARCHS4 Coexpression,35;Enrichr Queries,125;ReMap ChIP-seq,6"	"CXCL6,CXCL8,MMP7,CXCL1,CXCL3,PDZK1IP1,CXCL2,CXCL5,MMP10,C3,CXCL10,ANPEP,HSD17B2,CCL2,HMGCS2,PITX2"
"gene_set_query"	"13"	"CDX2"	"56.2"	"Literature ChIP-seq,60;ARCHS4 Coexpression,4;Enrichr Queries,200;ReMap ChIP-seq,9;GTEx Coexpression,8"	"REG3A,CXCL9,AQP8,CXCL3,GBA3,CXCL2,DMBT1,ANPEP,HSD17B2,CHP2,UGT2A3,HMGCS2,PCK1,PITX2,DUOX2,SPINK4,NOS2,DEFA6,CCL20,ENTPD5,REG4,DEFA5,PLA2G2A,GUCA2B,SLC35G1,OLFM4,MMP9,CXCL10,RBP2,MEP1B,ABCG2"
"gene_set_query"	"14"	"CENPX"	"59.0"	"GTEx Coexpression,59"	"ENTPD5,HSD17B2,HMGCS2"
"gene_set_query"	"15"	"RBPJL"	"61.33"	"ARCHS4 Coexpression,29;Enrichr Queries,123;GTEx Coexpression,32"	"C3,CXCL10,REG3A,REG1B,AQP8,ANPEP,REG1A,GSTA1,LCN2,GCG,HMGCS2,MMP9"
"gene_set_query"	"16"	"SPI1"	"62.67"	"Literature ChIP-seq,39;ARCHS4 Coexpression,76;ENCODE ChIP-seq,31;Enrichr Queries,30;ReMap ChIP-seq,80;GTEx Coexpression,120"	"BCL2A1,PLA2G2A,MMP9,SERPINB5,C3,CXCL10,FCGR3A,CASP5,SELL,IL1B,CTSK,HSD17B2,LCN2,CCL2,MNDA,TIMP1,HMGCS2,S100A9,S100A8"
"gene_set_query"	"17"	"NR5A2"	"62.75"	"ARCHS4 Coexpression,22;Enrichr Queries,163;ReMap ChIP-seq,44;GTEx Coexpression,22"	"SPINK4,REG3A,CXCL8,REG1B,AQP8,REG1A,ADIRF,GCG,SLC35G1,GBA3,OLFM4,CXCL2,C3,CXCL10,HSD17B2,GSTA1,CHP2,CCL2,HMGCS2,PITX2,S100A8,ABCG2"
"gene_set_query"	"18"	"NFE4"	"68.0"	"GTEx Coexpression,68"	"CASP5,SELL,MNDA"
"gene_set_query"	"19"	"MTF1"	"69.5"	"ARCHS4 Coexpression,24;GTEx Coexpression,115"	"CXCL8,SELL,CASP5,BCL2A1,IL1B,CXCL3,S100A9,CXCL2,MMP9,IDO1"
"gene_set_query"	"20"	"NKX23"	"70.0"	"ARCHS4 Coexpression,28;GTEx Coexpression,112"	"SPINK4,CCL11,DEFA6,SELL,ANPEP,PLA2G2A,CHP2,CXCL13"
"gene_set_query"	"21"	"FOXA3"	"75.67"	"ARCHS4 Coexpression,15;Enrichr Queries,83;GTEx Coexpression,129"	"SPINK4,ENTPD5,C4BPA,TM4SF5,PDZK1IP1,GBA3,CXCL2,C3,CXCL10,ADH4,ANPEP,HSD17B2,GSTA1,LCN2,HMGCS2,PCK1"
"gene_set_query"	"22"	"BATF3"	"76.33"	"ARCHS4 Coexpression,104;Enrichr Queries,105;GTEx Coexpression,20"	"BCL2A1,LPCAT1,CXCL2,MMP9,C3,CXCL10,CXCL11,SELL,IL1B,CCL2,TIMP1,MS4A1,IDO1"
"gene_set_query"	"23"	"HNF1A"	"77.67"	"ARCHS4 Coexpression,40;Enrichr Queries,179;GTEx Coexpression,14"	"C3,ADH4,CXCL10,ENTPD5,ANPEP,HSD17B2,CHP2,TM4SF5,HMGCS2,GBA3,PCK1"
"gene_set_query"	"24"	"CDX1"	"78.67"	"ARCHS4 Coexpression,3;Enrichr Queries,223;GTEx Coexpression,10"	"REG3A,AQP8,GBA3,DMBT1,ANPEP,HSD17B2,CHP2,UGT2A3,HMGCS2,PITX2,PCK1,DUOX2,SPINK4,DEFA6,NOS2,ENTPD5,REG4,DEFA5,PLA2G2A,GUCA2B,SLC35G1,OLFM4,CXCL10,RBP2,MEP1B,IGKV3-20,ABCG2"
"gene_set_query"	"25"	"TWIST2"	"80.5"	"ARCHS4 Coexpression,83;GTEx Coexpression,78"	"GREM1,NNMT,CTSK"
"gene_set_query"	"26"	"ZNF467"	"82.67"	"ARCHS4 Coexpression,46;Enrichr Queries,133;GTEx Coexpression,69"	"C3,CXCL10,FCGR3A,CASP5,SELL,ANPEP,CCL2,MNDA,TIMP1,S100A9,S100A8"
"gene_set_query"	"27"	"TCF21"	"86.75"	"Literature ChIP-seq,16;ARCHS4 Coexpression,60;Enrichr Queries,131;GTEx Coexpression,140"	"SPINK4,CCL11,NNMT,CCL20,PLA2G2A,LPCAT1,TM4SF5,CXCL2,ACSF2,GREM1,C3,CXCL10,CTSK,ANPEP,HSD17B2,CCL2,TIMP1,HMGCS2,PITX2,IDO1"
"gene_set_query"	"28"	"FOXI1"	"95.33"	"ARCHS4 Coexpression,199;Enrichr Queries,20;GTEx Coexpression,67"	"MMP7,CCL11,PDZK1IP1,CXCL13,OLFM4,ACSF2,SERPINB5,C3,CXCL10,CASP5,ANPEP,LCN2,CCL2,HMGCS2,PITX2,S100A9,S100A8"
"gene_set_query"	"29"	"ATF3"	"96.67"	"Literature ChIP-seq,92;ARCHS4 Coexpression,21;ENCODE ChIP-seq,74;Enrichr Queries,43;ReMap ChIP-seq,122;GTEx Coexpression,228"	"CXCL8,NNMT,BCL2A1,MMP1,AQP8,ENTPD5,REG4,CXCL1,CXCL3,CXCL2,MMP9,MMP10,C3,CXCL10,IL1B,LCN2,CCL2,CHI3L1,S100P,TIMP1,PCK1,S100A8,IDO1"
"gene_set_query"	"30"	"CREB5"	"98.0"	"ARCHS4 Coexpression,45;Enrichr Queries,128;GTEx Coexpression,121"	"C3,CXCL10,FCGR3A,CXCL8,SELL,IL1B,CCL2,MNDA,CXCL1,CXCL2,S100A9,S100A8"
"gene_set_query"	"31"	"KLF5"	"99.2"	"Literature ChIP-seq,25;ARCHS4 Coexpression,33;Enrichr Queries,225;ReMap ChIP-seq,83;GTEx Coexpression,130"	"NOS2,REG4,REG1B,GCG,OLFM4,SERPINB5,ACSF2,C3,CXCL10,ADH4,FCGR3A,MEP1B,SELL,ANPEP,CHP2,LCN2,CCL2,UGT2A3,S100P,TIMP1,PTGDS"
"gene_set_query"	"32"	"FOXQ1"	"100.3"	"ARCHS4 Coexpression,173;Enrichr Queries,26;GTEx Coexpression,102"	"NNMT,CXCL1,CXCL2,SERPINB5,GREM1,C3,CXCL10,TMEM158,LCN2,CCL2,S100P,TIMP1,S100A9,S100A8"
"gene_set_query"	"33"	"BATF2"	"100.3"	"ARCHS4 Coexpression,34;Enrichr Queries,2;GTEx Coexpression,265"	"CXCL9,CXCL8,CXCL1,CXCL3,CXCL2,C3,CXCL10,CXCL11,FCGR3A,CASP5,SELL,IL1B,LCN2,CCL2,MNDA,TIMP1,S100A9,S100A8,IDO1"
"gene_set_query"	"34"	"NFE2"	"108.2"	"ARCHS4 Coexpression,108;ENCODE ChIP-seq,95;Enrichr Queries,29;ReMap ChIP-seq,244;GTEx Coexpression,65"	"SLC16A1,PDZK1IP1,CXCL2,MMP9,C3,CXCL10,CASP5,SELL,IL1B,LCN2,CCL2,MNDA,TIMP1,S100A9,MS4A1,S100A8"
"gene_set_query"	"35"	"VDR"	"108.4"	"Literature ChIP-seq,69;ARCHS4 Coexpression,13;Enrichr Queries,78;ReMap ChIP-seq,241;GTEx Coexpression,141"	"PRAC1,SPINK4,CXCL8,NNMT,DEFA6,REG4,DEFA5,PLA2G2A,GUCA2B,GBA3,MMP9,C3,CXCL10,CASP5,RBP2,MEP1B,ANPEP,IL1B,HSD17B2,CHP2,UGT2A3,CCL2,TIMP1"
"gene_set_query"	"36"	"MLXIPL"	"109.0"	"ARCHS4 Coexpression,20;Enrichr Queries,175;GTEx Coexpression,132"	"C3,ADH4,CXCL10,ANPEP,ENTPD5,GSTA1,LCN2,C4BPA,TM4SF5,HMGCS2,PCK1,CYP3A4"
"gene_set_query"	"37"	"CEBPB"	"109.2"	"Literature ChIP-seq,11;ARCHS4 Coexpression,125;ENCODE ChIP-seq,7;Enrichr Queries,33;ReMap ChIP-seq,52;GTEx Coexpression,427"	"CXCL8,NNMT,BCL2A1,AQP8,CXCL1,C4BPA,CXCL2,CXCL5,C3,ADH4,FCGR3A,CTSK,HSD17B2,CCL2,TIMP1,PI3,HMGCS2,PCK1,NOS2,CCL20,MMP1,MMP9,SERPINB5,CXCL10,SELL,IL1B,LCN2,S100P,S100A9,S100A8"
"gene_set_query"	"38"	"SNAI2"	"109.3"	"ARCHS4 Coexpression,42;Enrichr Queries,159;ReMap ChIP-seq,154;GTEx Coexpression,82"	"GREM1,CXCL10,NNMT,CTSK,ADIRF,CCL2,TIMP1,MMP9,SERPINB5"
"gene_set_query"	"39"	"HHEX"	"111.3"	"ARCHS4 Coexpression,89;Enrichr Queries,59;ReMap ChIP-seq,12;GTEx Coexpression,285"	"CCL20,TM4SF5,CXCL1,CXCL2,MMP9,C3,ADH4,CXCL10,SELL,IL1B,LCN2,CCL2,S100P,MNDA,TIMP1,PITX2,PCK1,S100A9,DUOX2,S100A8"
